*X,dH_J_mol,dS_J_mol_K
0.4585382,-16589.82,14.04132
0.4594874,-16571.31,14.04417
0.4604366,-16552.81,14.04701
0.4613858,-16534.30,14.04985
0.4623350,-16515.80,14.05269
0.4632842,-16497.29,14.05553
0.4642334,-16478.79,14.05838
0.4651826,-16455.20,14.07826
0.4661318,-16424.83,14.12089
0.4670810,-16394.46,14.16352
0.4680302,-16364.10,14.20615
0.4689794,-16333.73,14.24878
0.4699286,-16303.36,14.29141
0.4708778,-16272.47,14.33404
0.4718270,-16230.92,14.37667
0.4727762,-16189.37,14.41930
0.4737255,-16147.81,14.46193
0.4746747,-16106.26,14.50456
0.4756239,-16060.03,14.56289
0.4765731,-16013.11,14.62352
0.4775223,-15966.19,14.68415
0.4784715,-15919.27,14.74478
0.4794207,-15872.35,14.80541
0.4803699,-15825.44,14.86604
0.4813191,-15778.52,14.92667
0.4822683,-15731.60,14.98730
0.4832175,-15684.68,15.04793
0.4841667,-15637.76,15.10856
0.4851159,-15596.56,15.15000
0.4860651,-15550.57,15.15000
0.4870143,-15496.57,15.15000
0.4879635,-15442.56,15.15000
0.4889127,-15388.55,15.15000
0.4898619,-15334.55,15.15000
0.4908111,-15280.54,15.15000
0.4917603,-15226.54,15.15000
0.4927095,-15158.73,15.15000
0.4936587,-15089.75,15.15000
0.4946079,-15020.77,15.15000
0.4955571,-14949.42,15.15793
0.4965063,-14877.33,15.16835
0.4974555,-14805.24,15.17877
0.4984047,-14733.15,15.18919
0.4993539,-14661.06,15.19961
0.5003031,-14595.15,15.21003
0.5012523,-14542.60,15.22045
0.5022015,-14490.05,15.23087
0.5031507,-14437.50,15.24129
0.5040999,-14384.94,15.25171
0.5050491,-14313.60,15.32517
0.5059984,-14169.25,15.64348
0.5069476,-14024.90,15.96178
0.5078968,-13880.55,16.28009
0.5088460,-13736.21,16.59839
0.5097952,-13591.86,16.91670
0.5107444,-13447.51,17.23500
0.5116936,-13303.16,17.55331
0.5126428,-13158.82,17.87161
0.5135920,-13014.47,18.18992
0.5145412,-12870.12,18.50822
0.5154904,-12711.44,18.96667
0.5164396,-12531.54,19.50097
0.5173888,-12351.64,20.03527
0.5183380,-12171.74,20.56957
0.5192872,-11991.85,21.10387
0.5202364,-11811.95,21.63816
0.5211856,-11632.05,22.17246
0.5221348,-11452.15,22.70676
0.5230840,-11272.25,23.24106
0.5240332,-11092.36,23.77535
0.5249824,-10918.97,24.28782
0.5259316,-10809.12,24.58718
0.5268808,-10699.27,24.88654
0.5278300,-10589.42,25.18589
0.5287792,-10479.57,25.48525
0.5297284,-10375.24,25.78461
0.5306776,-10274.80,26.08397
0.5316268,-10174.36,26.38333
0.5325760,-10073.92,26.68269
0.5335252,-9973.48,26.98205
0.5344744,-9873.05,27.28140
